ensembl_gene_id	description	external_gene_name	gene_biotype
AT3G03100	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 [Source:UniProtKB/TrEMBL;Acc:A0A178V630]		protein_coding
AT5G04820	Transcription repressor OFP13 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMC8]	OFP13	protein_coding
AT1G10320	Zinc finger CCCH domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SY74]		protein_coding
AT2G23380	Histone-lysine N-methyltransferase CLF [Source:UniProtKB/Swiss-Prot;Acc:P93831]	CLF	protein_coding
AT3G55910	ADP-ribosylation factor GTPase-activating protein [Source:UniProtKB/TrEMBL;Acc:Q9LY54]		protein_coding
AT2G29780	Putative F-box/kelch-repeat protein At2g29780 [Source:UniProtKB/Swiss-Prot;Acc:O82378]		protein_coding
AT4G31970	Cytochrome P450 82C2 [Source:UniProtKB/Swiss-Prot;Acc:O49394]	CYP82C2	protein_coding
AT4G18510	CLE2 [Source:UniProtKB/TrEMBL;Acc:A0A178UVM8]	CLE2	protein_coding
AT1G64210	Putative inactive receptor-like protein kinase At1g64210 [Source:UniProtKB/Swiss-Prot;Acc:Q9SH71]		protein_coding
AT5G39110	Germin-like protein subfamily 1 member 14 [Source:UniProtKB/Swiss-Prot;Acc:Q9FID0]		protein_coding
AT3G10986	Protein LURP-one-related 9 [Source:UniProtKB/Swiss-Prot;Acc:B3H5L1]		protein_coding
AT5G35945	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G43410.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eu /.../es - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G35945]		protein_coding
AT2G24696	B3 domain-containing protein REM-like 2 [Source:UniProtKB/Swiss-Prot;Acc:F4IQL7]		protein_coding
AT1G31885	Aquaporin NIP3-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6T0]	NIP3-1	protein_coding
AT1G61500	S-locus lectin protein kinase family protein [Source:TAIR;Acc:AT1G61500]		protein_coding
AT3G23172	unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G23172]		protein_coding
AT3G04140	Ankyrin repeat family protein [Source:UniProtKB/TrEMBL;Acc:Q9M8X0]		protein_coding
AT5G20180	Ribosomal protein [Source:UniProtKB/TrEMBL;Acc:A0A178UMI8]		protein_coding
AT5G25970	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:UniProtKB/TrEMBL;Acc:Q1PDT4]		protein_coding
AT4G04830	Peptide methionine sulfoxide reductase B5 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZS91]	MSRB5	protein_coding
AT3G62790	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-B [Source:UniProtKB/Swiss-Prot;Acc:Q9LZI6]		protein_coding
AT1G52342	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q1G3Y9]		protein_coding
AT5G10330	Histidinol-phosphate aminotransferase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P0DI07]	HISN6A	protein_coding
AT1G35610	Cysteine/histidine-rich C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4HZZ0]		protein_coding
AT5G53635	Putative FBD-associated F-box protein At5g53635 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJC1]		protein_coding
AT2G47250	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH3 [Source:UniProtKB/Swiss-Prot;Acc:O22899]		protein_coding
AT1G35515	Transcription factor MYB6 [Source:UniProtKB/Swiss-Prot;Acc:Q9SDS8]	MYB8	protein_coding
AT1G01940	Peptidyl-prolyl cis-trans isomerase CYP18-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPC7]	CYP18-1	protein_coding
AT3G61590	Galactose oxidase/kelch repeat superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LRL4]	HWS	protein_coding
AT4G09530	Putative uncharacterized protein AT4g09530 [Source:UniProtKB/TrEMBL;Acc:Q9M0P0]		protein_coding
AT4G14190	Pentatricopeptide repeat-containing protein At4g14190, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O23278]		protein_coding
AT4G31985	60S ribosomal protein L39-1 [Source:UniProtKB/Swiss-Prot;Acc:P51424]	RPL39C	protein_coding
AT4G35410	AP-1 complex subunit sigma-2 [Source:UniProtKB/Swiss-Prot;Acc:O23685]	AAP19-2	protein_coding
AT4G24640	Bnm1 like protein [Source:UniProtKB/TrEMBL;Acc:Q9SB59]	APPB1	protein_coding
AT3G21410	F-box/WD-40 repeat-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q4PSN6]	FBW1	protein_coding
AT1G52270	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q9C819]		protein_coding
AT5G63240	At5g63240 [Source:UniProtKB/TrEMBL;Acc:Q9FMJ9]		protein_coding
AT3G49340	Cysteine protease-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SG15]		protein_coding
AT3G46690	Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:W8Q337]	UGT76E4	protein_coding
AT1G23570	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q1PFT1]		protein_coding
AT3G24740	AT3g24740/K7P8_3 [Source:UniProtKB/TrEMBL;Acc:Q9LRY5]		protein_coding
AT4G09360	NB-ARC domain-containing disease resistance protein [Source:UniProtKB/TrEMBL;Acc:Q9M0Q5]		protein_coding
AT2G17880	At2g17880 [Source:UniProtKB/TrEMBL;Acc:O48828]		protein_coding
AT2G47750	Putative indole-3-acetic acid-amido synthetase GH3.9 [Source:UniProtKB/Swiss-Prot;Acc:O82243]	GH3.9	protein_coding
AT3G14960	Hexosyltransferase [Source:UniProtKB/TrEMBL;Acc:W8Q363]	B3GALT13	protein_coding
AT3G55250	PDE329 [Source:UniProtKB/TrEMBL;Acc:A0A178VJJ9]	PSA3	protein_coding
AT1G52825	At1g52821 [Source:UniProtKB/TrEMBL;Acc:Q8GXZ7]		protein_coding
AT4G23460	Beta-adaptin-like protein C [Source:UniProtKB/Swiss-Prot;Acc:O81742]	BETAC-AD	protein_coding
AT5G57360	Adagio protein 1 [Source:UniProtKB/TrEMBL;Acc:F4KAN2]	ZTL	protein_coding
AT2G44670	At2g44670/F16B22.16 [Source:UniProtKB/TrEMBL;Acc:O80506]		protein_coding
AT1G06380	Ribosomal protein L1p/L10e family [Source:UniProtKB/TrEMBL;Acc:Q9LMI1]		protein_coding
AT5G38910	Putative germin-like protein subfamily 1 member 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMB0]		protein_coding
AT1G59800	Cullin-like protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIE8]		protein_coding
AT2G19170	Subtilisin-like protease SBT2.5 [Source:UniProtKB/Swiss-Prot;Acc:O64481]	SBT2.5	protein_coding
AT1G50910	Putative uncharacterized protein At1g50910 [Source:UniProtKB/TrEMBL;Acc:Q56Y76]		protein_coding
AT3G62760	Glutathione S-transferase F13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZI9]	GSTF13	protein_coding
AT3G46870	Pentatricopeptide repeat (PPR) superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LSM9]		protein_coding
AT2G16860	Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9ZVX7]		protein_coding
AT1G67440	Minichromosome maintenance (MCM2/3/5) family protein [Source:TAIR;Acc:AT1G67440]	emb1688	protein_coding
AT3G10670	ABC transporter I family member 6, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CAF5]	ABCI6	protein_coding
AT5G41540	Disease resistance protein-like [Source:UniProtKB/TrEMBL;Acc:Q9FFS6]		protein_coding
AT5G47130	Bax inhibitor-1 family protein [Source:TAIR;Acc:AT5G47130]		protein_coding
AT3G15359	unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT3G15359]		protein_coding
AT1G49850	Probable E3 ubiquitin-protein ligase RHY1A [Source:UniProtKB/Swiss-Prot;Acc:Q852U6]	RHY1A	protein_coding
AT3G51500	At3g51500 [Source:UniProtKB/TrEMBL;Acc:Q9SCZ9]		protein_coding
AT2G40100	Chlorophyll a-b binding protein, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A178VTY4]	LHCB4.3	protein_coding
AT1G22570	Protein NRT1/ PTR FAMILY 5.15 [Source:UniProtKB/Swiss-Prot;Acc:Q9SK99]	NPF5.15	protein_coding
AT1G03365	Putative E3 ubiquitin-protein ligase RF4 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVT8]	RF4	protein_coding
AT1G07770	AT1G07770 protein [Source:UniProtKB/TrEMBL;Acc:B9DI04]	RPS15AA	protein_coding
AT1G79750	Malic enzyme [Source:UniProtKB/TrEMBL;Acc:A0A178W4H6]	NADP-ME4	protein_coding
AT5G51860	MADS-box protein AGL72 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLH5]	AGL72	protein_coding
AT5G02380	Metallothionein-like protein 2B [Source:UniProtKB/Swiss-Prot;Acc:Q38805]	MT2B	protein_coding
AT3G58740	Citrate synthase 1, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q9LXS7]	CSY1	protein_coding
AT4G32360	NADPH:adrenodoxin oxidoreductase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8W3L1]	MFDR	protein_coding
AT2G38810	Probable histone H2A variant 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SII0]	HTA8	protein_coding
AT2G33255	Haloacid dehalogenase-like hydrolase domain-containing protein At2g33255 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYE9]		protein_coding
AT1G09050	Putative uncharacterized protein At1g09050 [Source:UniProtKB/TrEMBL;Acc:Q8RX35]		protein_coding
AT3G09510	Putative non-LTR reverse transcriptase [Source:UniProtKB/TrEMBL;Acc:Q9SF52]		protein_coding
AT1G50160	BEST Arabidopsis thaliana protein match is: Polynucleotidyl transferase, ribonuclease H-like superfamily protein (TAIR:AT2G04420.1); Has 34 Blast hits to 34 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 34; Viruse /.../ Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G50160]		protein_coding
AT3G50790	Esterase/lipase/thioesterase family protein [Source:UniProtKB/TrEMBL;Acc:Q9SVL9]		protein_coding
AT5G07090	40S ribosomal protein S4-2 [Source:UniProtKB/Swiss-Prot;Acc:P49204]	RPS4B	protein_coding
AT3G13970	Ubiquitin-like protein ATG12 [Source:UniProtKB/TrEMBL;Acc:A0A178VDM5]	ATG12B	protein_coding
AT1G34060	Tryptophan aminotransferase-related protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q93Z38]	TAR4	protein_coding
AT3G62840	Putative small nuclear ribonucleoprotein D2 [Source:UniProtKB/TrEMBL;Acc:Q8RUH0]		protein_coding
AT4G30710	AUGMIN subunit 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUH5]	AUG8	protein_coding
AT1G69910	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.5 [Source:UniProtKB/Swiss-Prot;Acc:F4I3V3]	LRK10L-1.5	protein_coding
AT5G04140	glutamate synthase 1 [Source:TAIR;Acc:AT5G04140]	GLU1	protein_coding
AT3G08800	Protein SIEL [Source:UniProtKB/Swiss-Prot;Acc:Q8VZA0]	SIEL	protein_coding
AT3G14420	Peroxisomal (S)-2-hydroxy-acid oxidase GLO1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LRR9]	GLO1	protein_coding
AT5G24090	Acidic endochitinase [Source:UniProtKB/Swiss-Prot;Acc:P19172]	CHIB1	protein_coding
AT1G58030	Cationic amino acid transporter 2, vacuolar [Source:UniProtKB/Swiss-Prot;Acc:Q9ASS7]	CAT2	protein_coding
AT1G61080	Hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT1G61080]		protein_coding
AT4G20770	Pentatricopeptide repeat-containing protein At4g20770 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVH0]	PCMP-E35	protein_coding
AT2G23190	Cytochrome P450, family 81, subfamily D, polypeptide 7 [Source:UniProtKB/TrEMBL;Acc:O22188]	CYP81D7	protein_coding
AT2G29100	Glutamate receptor [Source:UniProtKB/TrEMBL;Acc:A0A178VR79]	ATGLR2.9	protein_coding
AT5G23440	FTRA1 [Source:UniProtKB/TrEMBL;Acc:A0A178U6Q9]	FTRA1	protein_coding
AT1G30120	Pyruvate dehydrogenase E1 component subunit beta-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C6Z3]	PDH-E1 BETA	protein_coding
AT4G24615			protein_coding
AT1G26560	Beta-glucosidase 40 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZE0]	BGLU40	protein_coding
AT1G21360	Glycolipid transfer protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q6NLQ3]	GLTP2	protein_coding
AT3G22110	Proteasome subunit alpha type-4-A [Source:UniProtKB/Swiss-Prot;Acc:O81148]	PAC1	protein_coding
AT1G67140	HEAT repeat-containing protein [Source:TAIR;Acc:AT1G67140]	SWEETIE	protein_coding
AT3G53070	Putative membrane lipoprotein [Source:UniProtKB/TrEMBL;Acc:Q9LF85]		protein_coding
AT5G26700	Probable germin-like protein subfamily 2 member 5 [Source:UniProtKB/Swiss-Prot;Acc:O65252]		protein_coding
AT5G24290	Membrane protein of ER body 2 [Source:UniProtKB/Swiss-Prot;Acc:F4KFS7]	MEB2	protein_coding
AT5G63390	Auxin-independent growth promoter-like protein [Source:UniProtKB/TrEMBL;Acc:Q9FMW3]		protein_coding
ATMG01240	Uncharacterized mitochondrial protein AtMg01240 [Source:UniProtKB/Swiss-Prot;Acc:P92554]	ORF100C	protein_coding
AT2G30860	GSTF9 [Source:UniProtKB/TrEMBL;Acc:A0A178VP05]	GSTF9	protein_coding
AT4G12970	EPIDERMAL PATTERNING FACTOR-like protein 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9SV72]	EPFL9	protein_coding
AT5G46210	Cullin-4 [Source:UniProtKB/Swiss-Prot;Acc:Q8LGH4]	CUL4	protein_coding
AT3G60590	Cytochrome P450 family protein [Source:UniProtKB/TrEMBL;Acc:F4JBW0]		protein_coding
AT3G62310	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZQ9]		protein_coding
AT1G23030	U-box domain-containing protein 11 [Source:UniProtKB/Swiss-Prot;Acc:Q8GUG9]	PUB11	protein_coding
AT5G38895	RING/U-box superfamily protein [Source:TAIR;Acc:AT5G38895]		protein_coding
AT4G28110	MYB41 [Source:UniProtKB/TrEMBL;Acc:A0A178V452]	AtMYB41	protein_coding
AT3G09030	BTB/POZ domain-containing protein At3g09030 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7R7]		protein_coding
AT5G03660	AT5g03660/F17C15_80 [Source:UniProtKB/TrEMBL;Acc:Q940P0]		protein_coding
AT4G02190	Cysteine/histidine-rich C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:O04257]		protein_coding
AT1G30910	F17F8.22 [Source:UniProtKB/TrEMBL;Acc:Q9FYH8]		protein_coding
AT1G52857	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Vi /.../- 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G52857]		protein_coding
AT4G26870	Aspartate--tRNA ligase 1, cytoplasmic [Source:UniProtKB/Swiss-Prot;Acc:Q8H104]		protein_coding
AT3G50720	Protein kinase ATN1-like protein [Source:UniProtKB/TrEMBL;Acc:Q9SCQ4]		protein_coding
AT3G45430	Probable L-type lectin-domain containing receptor kinase I.5 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1G4]	LECRK15	protein_coding
AT4G16340	Guanine nucleotide exchange factor SPIKE 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8SAB7]	SPK1	protein_coding
AT3G09760	At3g09760/F8A24.19 [Source:UniProtKB/TrEMBL;Acc:Q940P1]		protein_coding
AT1G73655	Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:A0A178WAL2]	FKBP17-3	protein_coding
AT4G12670	Homeodomain-like superfamily protein [Source:TAIR;Acc:AT4G12670]		protein_coding
AT3G05740	ATP-dependent DNA helicase Q-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FT74]	RECQL1	protein_coding
AT3G29350	AHP2 [Source:UniProtKB/TrEMBL;Acc:A0A178VEN2]	AHP2	protein_coding
AT4G35280	DAZ2 [Source:UniProtKB/TrEMBL;Acc:A0A178UTT4]	ZAT3	protein_coding
AT3G56300	Cysteine--tRNA ligase 1, cytoplasmic [Source:UniProtKB/Swiss-Prot;Acc:Q9LYL3]		protein_coding
AT4G02405	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:UniProtKB/TrEMBL;Acc:B3H6G9]		protein_coding
AT3G23955	F-box family protein [Source:UniProtKB/TrEMBL;Acc:F4J5B7]		protein_coding
AT3G58980	F-box/LRR-repeat protein At3g58980 [Source:UniProtKB/Swiss-Prot;Acc:P0C2G1]		protein_coding
AT3G45510	Putative uncharacterized protein F9K21.90 [Source:UniProtKB/TrEMBL;Acc:Q9M1F6]		protein_coding
AT3G12200	NIMA-related kinase 7 [Source:UniProtKB/TrEMBL;Acc:F4J8P0]	Nek7	protein_coding
AT3G62280	GDSL esterase/lipase At3g62280 [Source:UniProtKB/Swiss-Prot;Acc:Q6NLP7]		protein_coding
AT1G13670	At1g13670 [Source:UniProtKB/TrEMBL;Acc:Q9LMY0]		protein_coding
AT3G24225	ESR19 [Source:UniProtKB/TrEMBL;Acc:A0A178VF65]	CLE19	protein_coding
AT5G20900	Protein TIFY 3B [Source:UniProtKB/Swiss-Prot;Acc:Q9C5K8]	TIFY3B	protein_coding
AT1G60990	Putative transferase At1g60990, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q681Y3]		protein_coding
AT1G54170	Polyadenylate-binding protein-interacting protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8L793]	CID3	protein_coding
AT3G26730	Putative RING zinc finger protein [Source:UniProtKB/TrEMBL;Acc:Q9LSE3]		protein_coding
AT2G07768	Cytochrome C assembly protein [Source:UniProtKB/TrEMBL;Acc:F4IL90]		protein_coding
AT3G27660	Oleosin 20.3 kDa [Source:UniProtKB/Swiss-Prot;Acc:Q42431]	OL2	protein_coding
AT5G51880	Iron ion binding / oxidoreductase [Source:UniProtKB/TrEMBL;Acc:Q9LT92]		protein_coding
AT3G27835	Putative defensin-like protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q2V3R9]		protein_coding
AT5G37450	Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT5G37450]		protein_coding
AT5G27093			protein_coding
AT3G59640	Glycine-rich protein [Source:UniProtKB/TrEMBL;Acc:Q9M1A4]		protein_coding
AT2G06025	Acyl-CoA N-acyltransferases-like protein [Source:UniProtKB/TrEMBL;Acc:Q8GUT5]		protein_coding
AT3G51380	At3g51380 [Source:UniProtKB/TrEMBL;Acc:Q9SD11]	IQD20	protein_coding
AT3G05570	At3g05570 [Source:UniProtKB/TrEMBL;Acc:Q9M9W2]		protein_coding
AT2G43680	IQD14 [Source:UniProtKB/TrEMBL;Acc:A0A178VRE6]	IQD14	protein_coding
AT3G25580	Thioredoxin superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9LSU4]		protein_coding
AT3G50520	Phosphoglycerate mutase-like protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SCS3]		protein_coding
AT4G16100	At4g16100 [Source:UniProtKB/TrEMBL;Acc:Q940I8]		protein_coding
AT4G34270	TIP41-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q8VXY4]	TIP41L	protein_coding
AT5G11140	Phospholipase-like (PEARLI 4) family protein [Source:UniProtKB/TrEMBL;Acc:Q9LFP2]		protein_coding
AT2G04090	Protein DETOXIFICATION 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIA1]	DTX5	protein_coding
AT2G20360	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SK66]		protein_coding
AT5G19151	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422;  /.../ - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G19151]		protein_coding
AT5G51360	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q9FGN5]		protein_coding
AT1G44020	Cysteine/histidine-rich C1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4IEE1]		protein_coding
AT5G61380	Two-component response regulator-like APRR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LKL2]	APRR1	protein_coding
AT1G11880	GPI mannosyltransferase 2 [Source:UniProtKB/TrEMBL;Acc:Q6NKT6]		protein_coding
AT4G01670	AT4G01670 protein [Source:UniProtKB/TrEMBL;Acc:Q8GXD3]		protein_coding
AT4G32800	Ethylene-responsive transcription factor ERF043 [Source:UniProtKB/Swiss-Prot;Acc:Q9M080]	ERF043	protein_coding
AT4G32030	At4g32030 [Source:UniProtKB/TrEMBL;Acc:O49388]		protein_coding
AT5G24450	Transcription factor IIIC, subunit 5 [Source:UniProtKB/TrEMBL;Acc:F4KH50]		protein_coding
AT3G14370	WAG2 [Source:UniProtKB/TrEMBL;Acc:A0A178VAK4]	WAG2	protein_coding
ATCG00540	Cytochrome f [Source:UniProtKB/Swiss-Prot;Acc:P56771]	PETA	protein_coding
AT2G32610	Cellulose synthase-like protein B1 [Source:UniProtKB/Swiss-Prot;Acc:O80898]	CSLB1	protein_coding
AT2G07000	Putative uncharacterized protein At2g07000 [Source:UniProtKB/TrEMBL;Acc:Q9ZVW1]		protein_coding
AT4G36800	NEDD8-conjugating enzyme Ubc12 [Source:UniProtKB/Swiss-Prot;Acc:Q9SDY5]	RCE1	protein_coding
AT3G03510	Phototropic-responsive NPH3 family protein [Source:TAIR;Acc:AT3G03510]		protein_coding
AT3G06840	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q8LFJ2]		protein_coding
AT1G23070	Protein LAZ1 homolog 2 [Source:UniProtKB/Swiss-Prot;Acc:Q5BPZ5]		protein_coding
AT5G66985	At5g66985 [Source:UniProtKB/TrEMBL;Acc:Q8L9T9]		protein_coding
AT1G13605	Defensin-like protein 268 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4N6]		protein_coding
AT1G21245	F16F4.7 protein [Source:UniProtKB/TrEMBL;Acc:Q9LMN9]		protein_coding
AT5G47470	Nodulin MtN21 /EamA-like transporter family protein [Source:TAIR;Acc:AT5G47470]		protein_coding
AT5G61160	Agmatine coumaroyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9FNP9]	ACT	protein_coding
AT2G47300	Ribonucleases P/MRP protein subunit POP1-like [Source:UniProtKB/TrEMBL;Acc:F4IL30]		protein_coding
AT2G46510	Transcription factor ABA-INDUCIBLE bHLH-TYPE [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPY8]	AIB	protein_coding
AT5G52460	FBD, F-box and Leucine Rich Repeat domains containing protein [Source:TAIR;Acc:AT5G52460]	EDA41	protein_coding
AT3G06620	PAS domain-containing protein tyrosine kinase family protein [Source:UniProtKB/TrEMBL;Acc:Q9C902]		protein_coding
AT2G03936	Putative defensin-like protein 56 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4A6]		protein_coding
AT2G05310	Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ31]		protein_coding
AT4G30630	At4g30630 [Source:UniProtKB/TrEMBL;Acc:Q9M097]		protein_coding
AT1G73270	Serine carboxypeptidase-like 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAU0]	SCPL6	protein_coding
AT1G02560	ATP-dependent Clp protease proteolytic subunit [Source:UniProtKB/TrEMBL;Acc:A0A178WMF0]	CLPP5	protein_coding
AT2G38430	Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q58FY7]		protein_coding
AT5G62020	HSFB2A [Source:UniProtKB/TrEMBL;Acc:A0A178UCK7]	HSFB2A	protein_coding
AT5G27100	Glutamate receptor 2.1 [Source:UniProtKB/Swiss-Prot;Acc:O04660]	GLR2.1	protein_coding
AT5G06150	Cyclin-B1-2 [Source:UniProtKB/Swiss-Prot;Acc:Q39067]	CYCB1-2	protein_coding
AT5G25290	F-box protein At5g25290 [Source:UniProtKB/Swiss-Prot;Acc:Q4PSE7]		protein_coding
AT5G61510	At5g61510 [Source:UniProtKB/TrEMBL;Acc:A1L4Y4]		protein_coding
AT4G03250	Homeodomain-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JI72]		protein_coding
AT3G14660	Cytochrome P450 72A13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUC8]	CYP72A13	protein_coding
AT5G51800	Gb|AAB80672.1 [Source:UniProtKB/TrEMBL;Acc:Q9FLH9]		protein_coding
AT4G32600	C3H4 type zinc finger protein [Source:UniProtKB/TrEMBL;Acc:Q8VY23]		protein_coding
AT1G67430	60S ribosomal protein L17-2 [Source:UniProtKB/Swiss-Prot;Acc:P51413]	RPL17B	protein_coding
AT1G17770	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH7 [Source:UniProtKB/Swiss-Prot;Acc:Q9C5P1]	SUVH7	protein_coding
AT4G03740	Putative uncharacterized protein AT4g03740 [Source:UniProtKB/TrEMBL;Acc:Q9SY52]		protein_coding
AT3G29763	General transcription factor 2-related zinc finger protein [Source:UniProtKB/TrEMBL;Acc:Q3EAW7]		protein_coding
AT4G16080	Protein of unknown function (DUF295) [Source:TAIR;Acc:AT4G16080]		protein_coding
AT5G51950	AT5g51950/MSG15_3 [Source:UniProtKB/TrEMBL;Acc:Q94KD2]		protein_coding
AT3G54280	ROOT GROWTH DEFECTIVE 3 [Source:UniProtKB/TrEMBL;Acc:F4JCU6]	RGD3	protein_coding
AT5G66570	Oxygen-evolving enhancer protein 1-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P23321]	PSBO1	protein_coding
AT3G27730	DNA helicase ROCK-N-ROLLERS [Source:UniProtKB/TrEMBL;Acc:A0A1I9LN50]	RCK	protein_coding
AT1G62085	F19K23.4 protein [Source:UniProtKB/TrEMBL;Acc:O04576]		protein_coding
AT5G20640	Protein LURP-one-related 16 [Source:UniProtKB/Swiss-Prot;Acc:A0MFH4]		protein_coding
AT5G28560	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink). [Source:TAIR;Acc:AT5G28560]		protein_coding
AT3G55680	Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9M054]		protein_coding
